"Occupation Title","SOC Code","Employment 2016 (thousands)","Employment 2026 (thousands)","Employment change, 2016-2026 (thousands)","Employment change, 2016-2026 (percent)","Occupational openings, 2016-2026 annual average (thousands)","2017 median annual wage","Typical entry-level education","Education Code","Work experience in a related occupation","Workex Code","Typical on-the-job training","trCode"
"Astronomers    * Astronomer* Astrophysicist","=""19-2011""","2.0","2.2","0.2","10.0","0.2","100,590","Doctoral or professional degree","1","None","4","None","6"
"Athletes and sports competitors    * All Terrain Vehicle Racer* Athlete* Auto Racer* Baseball Pitcher* Baseball Player* Basketball Player* Bicycle Racer* Bicyclist* Billiard Player* Bowler* Bull Rider* Car Racer* Cyclist* Dirt Bike Racer* Drag Car Racer* Figure Skater* Football Player* Golfer* Hockey Player* Horse Racer* Ice Skater* Jockey* Kick Boxer* Motocross Racer* National Association for  Stock Car Auto Racing Driver* Prize Fighter* Professional Bass Fisher* Professional Soccer Player* Pugilist* Race Car Driver* Roller Skater* Skater* Skier* Snowboarder* Softball Player* Stock Car Driver* Surfer* Swimmer* Tennis Player* Volleyball Player* Wrestler","=""27-2021""","11.8","12.7","0.9","7.5","1.7","51,370","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Athletic trainers    * Athletic Trainer* Certified Athletic Trainer* Clinical Athletic Instructor* Resident Athletic Trainer","=""29-9091""","27.8","34.1","6.3","22.8","2.2","46,630","Bachelor's degree","3","None","4","None","6"
"Atmospheric and space scientists    * Atmospheric Chemist* Atmospheric Scientist* Climatologist* Hurricane Tracker* Meteorologist* Oceanographic Meteorologist* Space Scientist* Storm Chaser* Tornado Chaser* Warning Coordination Meteorologist* Weather Analyst* Weather Forecaster* Weatherman","=""19-2021""","10.4","11.7","1.3","12.0","0.9","92,070","Bachelor's degree","3","None","4","None","6"
"Atmospheric, earth, marine, and space sciences teachers, postsecondary    * Climatology Professor* Earth Science Professor* Geology Professor* Geoscience Professor* Meteorology Professor* Mineralogy Professor* Oceanic Sciences Professor* Oceanography Professor* Volcanology Professor","=""25-1051""","13.1","14.4","1.3","9.5","1.2","87,380","Doctoral or professional degree","1","None","4","None","6"
"Audio and video equipment technicians    * Audio-Visual Production Specialist* Event AV Operator* Event Crew Technician* Multimedia Production Assistant* Video Control Operator* Video Equipment Technician* Video Production Assistant","=""27-4011""","83.3","94.0","10.7","12.9","9.0","42,190","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Audio-visual and multimedia collections specialists    * Audio-Visual Collections Coordinator* Library Media Specialist* Multimedia Services Coordinator","=""25-9011""","11.3","12.3","1.0","8.9","1.1","48,590","Bachelor's degree","3","Less than 5 years","2","None","6"
"Audiologists    * Audiologist* Clinical Audiologist* Dispensing Audiologist* Educational Audiologist* Hearing Therapist* Licensed Audiologist* Pediatric Audiologist","=""29-1181""","14.8","17.8","3.1","20.7","1.0","75,920","Doctoral or professional degree","1","None","4","None","6"
"Automotive and watercraft service attendants    * Auto Service Station Attendant* Gas Pump Attendant* Gas Station Attendant* Gas and Oil Servicer* Oil Changer* Pump Jockey* Service Station Attendant","=""53-6031""","110.0","121.7","11.7","10.6","20.0","23,390","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Automotive body and related repairers    * Auto Body Customizer* Auto Body Technician* Auto Body Worker* Auto Bumper Straightener* Body Shop Worker* Body and Frame Technician* Car Refinisher* Truck Body Repairer* Vehicle Body Sander","=""49-3021""","160.4","174.1","13.6","8.5","17.1","41,970","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Automotive glass installers and repairers    * Auto Glass Installer* Auto Glass Mechanic* Automotive Glass Technician* Automotive Glazier* Windshield Installer* Windshield Repair Technician","=""49-3022""","19.6","20.9","1.3","6.5","2.1","34,170","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Automotive service technicians and mechanics    * Auto Clutch Rebuilder* Auto Clutch Specialist* Auto Radiator Specialist* Auto Suspension and Steering Mechanic* Auto Transmission Specialist* Automotive Alignment Specialist* Automotive Brake Adjuster* Automotive Brake Specialist* Automotive Brake Technician* Automotive Fuel Injection Servicer* Automotive Fuel Systems Converter* Automotive Specialty Technician* Hybrid Car Mechanic* Motor Tune-Up Specialist","=""49-3023""","749.9","795.8","45.9","6.1","75.6","39,550","Postsecondary nondegree award","5","None","4","Short-term on-the-job training","5"
"Avionics technicians    * Aircraft Armament Mechanic* Aircraft Electrician* Aircraft Instrument Mechanic* Airplane Electrician* Automatic Pilot Mechanic* Aviation Electronics Technician* In-Flight Refueling System Repairer","=""49-2091""","17.5","18.6","1.1","6.0","1.5","62,650","Associate's degree","4","None","4","None","6"
"Baggage porters and bellhops    * Baggage Porter* Bell Staff* Bellperson* Bellstaff* Hotel Baggage Handler* Luggage Attendant* Redcap* Skycap","=""39-6011""","45.1","48.8","3.7","8.2","6.7","23,230","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Bailiffs    * Bailiff* City Bailiff* County Bailiff* Court Bailiff* Court Officer* Court Security Officer* Deputy Bailiff","=""33-3011""","18.6","18.2","-0.4","-2.1","1.4","42,960","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bakers    * Bagel Maker* Bread Baker* Dough Maker* Pastry Baker* Pastry Finisher* Pie Baker* Pie Maker","=""51-3011""","191.0","205.6","14.6","7.6","29.1","25,690","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Barbers    * Barber* Barber Apprentice* Master Barber","=""39-5011""","56.4","64.0","7.6","13.4","6.2","25,650","Postsecondary nondegree award","5","None","4","None","6"
"Bartenders    * Barkeep* Bartender* Drink Mixer* Mixologist* Taproom Attendant","=""35-3011""","611.2","626.3","15.1","2.5","102.3","21,690","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bicycle repairers    * Bicycle Mechanic* Bicycle Repairer* Bicycle Service Technician* Bike Mechanic","=""49-3091""","12.4","16.1","3.6","29.3","2.1","28,390","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Bill and account collectors    * Accounts Collector* Bill Collector* Billing Representative* Collection Agent* Collections Clerk* Collections Representative* Debt Collector* Installment Agent* Installment Loan Collector* Insurance Collector* Payment Collector* Repossessor","=""43-3011""","305.7","296.7","-9.1","-3.0","30.2","35,330","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Billing and posting clerks    * Billing Clerk* Invoice Clerk* Invoice Control Clerk* Patient Account Representative* Posting Clerk* Statement Clerk* Statement Distribution Clerk* Statement Processor","=""43-3021""","501.0","571.6","70.7","14.1","59.5","36,860","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Biochemists and biophysicists    * Biochemist* Biological Chemist* Biophysicist* Clinical Biochemist* Physical Biochemist","=""19-1021""","31.5","35.1","3.6","11.5","3.2","91,190","Doctoral or professional degree","1","None","4","None","6"
"Biological science teachers, postsecondary    * Anatomy Professor* Bacteriology Professor* Biochemistry Professor* Botany Professor* Embryology Professor* Microbiology Professor* Zoology Professor","=""25-1042""","62.3","71.7","9.4","15.2","6.0","78,240","Doctoral or professional degree","1","None","4","None","6"
"Biological scientists, all other    * Biologist* Bryologist* Embryologist* Osteologist* Paleobotanist* Phytopathologist* Plant Etiologist","=""19-1029""","38.7","41.8","3.1","8.0","3.7","76,690","Bachelor's degree","3","None","4","None","6"
"Biological technicians    * Bacteriology Technician* Biochemistry Technician* Biology Laboratory Assistant* Marine Fisheries Technician* Microbiology Technician* Wildlife Technician","=""19-4021""","82.1","90.4","8.4","10.2","8.9","43,800","Bachelor's degree","3","None","4","None","6"
"Biomedical engineers    * Bio-Mechanical Engineer* Biochemical Engineer* Biomaterials Engineer* Biomedical Engineer* Dialysis Engineer* Genetic Engineer","=""17-2031""","21.3","22.8","1.5","7.2","1.6","88,040","Bachelor's degree","3","None","4","None","6"
"Boilermakers    * Boiler Fitter* Boiler Installer* Boiler Mechanic* Boiler Setter* Boiler Tester* Boilermaker* Boilermaker Mechanic","=""47-2011""","17.2","18.7","1.5","9.0","1.9","62,260","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bookkeeping, accounting, and auditing clerks    * Accounts Receivable Assistant* Accounts Receivable Clerk* Auditing Clerk* Bookkeeper* Fixed Capital Clerk* Foreign Exchange Position Clerk* Mortgage Accounting Clerk","=""43-3031""","1,730.5","1,705.3","-25.2","-1.5","186.4","39,240","Some college, no degree","6","None","4","Moderate-term on-the-job training","4"
"Brickmasons and blockmasons    * Adobe Layer* Block Layer* Blockmason* Brick Chimney Builder* Brick Setter* Bricklayer* Brickmason* Brickmason Apprentice* Firebrick Layer* Furnace Mason* Pottery Kiln Builder* Refractory Bricklayer","=""47-2021""","91.1","100.5","9.4","10.3","9.0","49,770","High school diploma or equivalent","7","None","4","Apprenticeship","2"
"Bridge and lock tenders    * Bridge Operator* Bridge Tender* Dam Tender* Lighthouse Keeper* Lock and Dam Operator","=""53-6011""","3.7","3.8","0.2","4.9","0.4","50,240","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Broadcast news analysts    * News Anchor* News Commentator* Newscaster","=""27-3021""","5.7","5.6","0.0","-0.4","0.5","62,910","Bachelor's degree","3","None","4","None","6"
"Broadcast technicians    * Audio Engineer* Broadcast Engineer* Broadcast Maintenance Engineer* Broadcast Operations Engineer* Radio Station Audio Engineer* Radio/Television Technician* Remote Broadcast Engineer* Telecasting Engineer* Television Audio Engineer","=""27-4012""","34.0","32.9","-1.1","-3.2","2.9","39,060","Associate's degree","4","None","4","Short-term on-the-job training","5"
"Brokerage clerks    * Brokerage Clerk* Brokerage Purchase-and-Sale Clerk* Commodities Clerk* Dividend Clerk* Securities Clerk","=""43-4011""","60.4","63.4","3.0","5.0","6.6","49,800","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Budget analysts    * Budget Analyst* Budget Coordinator* Budget Examiner* Budget Officer* Cost Analyst","=""13-2031""","58.4","62.2","3.8","6.5","4.8","75,240","Bachelor's degree","3","None","4","None","6"
"Building cleaning workers, all other    * Building Pressure Washer* Chimney Sweep* Chimney Sweeper","=""37-2019""","16.2","18.3","2.1","12.8","2.4","29,060","No formal educational credential","8","None","4","Short-term on-the-job training","5"
"Bus and truck mechanics and diesel engine specialists    * Biodiesel Engine Specialist* Diesel Engine Fitter* Diesel Service Technician* Marine Diesel Technician* School Bus Mechanic* Tractor Trailer Mechanic* Truck Engine Technician","=""49-3031""","278.8","304.6","25.8","9.2","28.2","46,360","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Bus drivers, school or special client    * School Bus Driver* School Bus Operator* Special Education Bus Driver","=""53-3022""","507.9","535.2","27.3","5.4","64.9","31,060","High school diploma or equivalent","7","None","4","Short-term on-the-job training","5"
"Bus drivers, transit and intercity    * Charter Coach Driver* Motor Coach Bus Driver* Motor Coach Driver* Motor Coach Tour Operator* Public Transit Bus Driver* Public Transit Trolley Driver","=""53-3021""","179.3","195.4","16.1","9.0","24.0","40,780","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Business operations specialists, all other    * Mystery Shopper* Ship Purser","=""13-1199""","1,023.9","1,114.3","90.3","8.8","104.2","70,010","Bachelor's degree","3","None","4","None","6"
"Business teachers, postsecondary    * Accounting Professor* Banking and Finance Instructor* Business Administration Professor* Finance Professor* Management Professor* Marketing Instructor* Marketing Professor","=""25-1011""","104.2","123.0","18.9","18.1","10.4","80,300","Doctoral or professional degree","1","None","4","None","6"
"Butchers and meat cutters    * Butcher* Butcher Apprentice* Halal Butcher* Kosher Butcher* Meat Carver* Meat Clerk* Meat Counter Worker","=""51-3021""","135.7","143.5","7.8","5.8","17.7","30,890","No formal educational credential","8","None","4","Long-term on-the-job training","3"
"Buyers and purchasing agents, farm products    * Cattle Buyer* Cotton Broker* Cotton Buyer* Fruit Buyer* Grain Buyer* Hog Buyer* Livestock Buyer* Oyster Buyer* Purchasing Agent, Cotton, Grain, Livestock, Other Farm Products* Tobacco Buyer","=""13-1021""","13.7","12.9","-0.9","-6.2","1.4","N/A","Bachelor's degree","3","None","4","Moderate-term on-the-job training","4"
"Cabinetmakers and bench carpenters    * Cabinet Builder* Cabinetmaker* Marquetry Worker* Wood Furniture Assembler* Wood Working Assembler","=""51-7011""","109.3","111.8","2.5","2.3","11.5","33,920","High school diploma or equivalent","7","None","4","Moderate-term on-the-job training","4"
"Camera and photographic equipment repairers    * Aircraft Photographic Equipment Repairer* Camera Machinist* Camera Repair Technician* Camera Repairer* Photographic Equipment Technician","=""49-9061""","4.0","4.1","0.1","2.3","0.4","40,770","High school diploma or equivalent","7","None","4","Long-term on-the-job training","3"
"Camera operators, television, video, and motion picture    * Cinematographer* Electronic News Gathering Camera Operator* Motion Picture Camera Operator* Movie Shot Camera Operator* News Camera Operator* News Videographer* Television Camera Operator* Video Camera Operator","=""27-4031""","25.1","26.9","1.8","7.0","2.6","53,550","Bachelor's degree","3","None","4","None","6"
"Captains, mates, and pilots of water vessels    * Barge Captain* Barge Master* Boat Pilot* Car Ferry Captain* Car Ferry Master* Coastal Tug Mate* Deck Officer* Docking Pilot* Ferry Boat Captain* Ferry Captain* Ferryboat Captain* First Mate* Harbor Boat Pilot* Harbor Pilot* Harbor Tug Captain* Port Captain* River Boat Captain* River Pilot* Sailboat Captain* Ship Harbor Pilot* Tow Boat Captain* Towboat Pilot* Tug Boat Captain* Tugboat Captain* Tugboat Mate* Tugboat Operator* Tugboat Pilot","=""53-5021""","38.8","42.2","3.4","8.8","4.4","70,920","Postsecondary nondegree award","5","Less than 5 years","2","None","6"
"Cardiovascular technologists and technicians    * Cardiac Catheterization Laboratory Technologist* Cardiac Catheterization Technologist* Cardiac Monitor Technician* Cardiac Technician* Cardiopulmonary Technologist* Cardiovascular Interventional Technologist* Cardiovascular Technologist* EKG Technician* Echocardiogram Technician* Echocardiographer* Echocardiographic Technologist* Echocardiography Technician* Echocardiology Technologist* Electrocardiogram Technician* Electrocardiograph Operator* Pulmonary Function Technologist","=""29-2031""","55.0","60.5","5.5","9.9","3.5","55,270","Associate's degree","4","None","4","None","6"
"Career/technical education teachers, middle school    * Middle School Vocational Education Teacher","=""25-2023""","12.7","13.6","0.9","7.3","1.0","58,630","Bachelor's degree","3","Less than 5 years","2","None","6"
"Career/technical education teachers, secondary school    * High School Auto Repair Teacher* High School Vocational Education Teacher","=""25-2032""","78.7","83.7","5.0","6.4","6.0","58,660","Bachelor's degree","3","Less than 5 years","2","None","6"
